iter	Passed	Remaining
0	145	14398
1	148	7263
2	152	4919
3	154	3708
4	157	2996
5	160	2520
6	163	2178
7	167	1921
8	170	1719
9	173	1557
10	175	1422
11	178	1311
12	181	1216
13	185	1137
14	188	1066
15	190	1002
16	194	948
17	197	901
18	200	855
19	202	811
20	205	774
21	207	737
22	209	702
23	211	670
24	214	644
25	217	620
26	220	596
27	223	573
28	225	552
29	228	533
30	231	514
31	233	496
32	236	479
33	239	464
34	242	449
35	244	434
36	247	420
37	249	407
38	252	395
39	255	383
40	258	371
41	259	358
42	262	348
43	265	337
44	268	328
45	271	318
46	274	309
47	277	301
48	280	292
49	283	283
50	285	274
51	288	266
52	291	258
53	293	250
54	295	241
55	297	234
56	300	226
57	303	219
58	305	212
59	308	205
60	311	199
61	314	192
62	317	186
63	320	180
64	323	174
65	326	168
66	329	162
67	332	156
68	334	150
69	337	144
70	340	139
71	343	133
72	346	127
73	348	122
74	351	117
75	353	111
76	356	106
77	359	101
78	362	96
79	364	91
80	367	86
81	370	81
82	372	76
83	375	71
84	378	66
85	380	62
86	395	59
87	402	54
88	408	50
89	411	45
90	415	41
91	417	36
92	420	31
93	423	27
94	426	22
95	430	17
96	434	13
97	437	8
98	440	4
99	443	0
