iter	Passed	Remaining
0	130	130035
1	135	67557
2	140	46692
3	143	35729
4	149	29784
5	155	25701
6	158	22542
7	164	20390
8	167	18483
9	171	16949
10	176	15840
11	180	14882
12	183	13944
13	187	13215
14	193	12688
15	195	11993
16	196	11384
17	198	10841
18	200	10354
19	202	9905
20	203	9501
21	205	9125
22	206	8773
23	207	8440
24	208	8136
25	210	7871
26	212	7654
27	214	7438
28	215	7226
29	217	7028
30	218	6839
31	220	6659
32	221	6486
33	222	6319
34	223	6160
35	224	6024
36	227	5915
37	230	5842
38	232	5729
39	234	5639
40	237	5554
41	238	5448
42	240	5341
43	241	5255
44	244	5187
45	246	5102
46	247	5024
47	249	4947
48	251	4875
49	252	4792
50	253	4712
51	256	4669
52	258	4624
53	261	4578
54	263	4533
55	266	4495
56	268	4441
57	271	4411
58	272	4348
59	274	4297
60	276	4261
61	279	4226
62	281	4187
63	284	4154
64	286	4121
65	288	4086
66	290	4049
67	293	4016
68	295	3983
69	297	3953
70	300	3932
71	303	3907
72	305	3879
73	307	3853
74	310	3826
75	312	3801
76	317	3804
77	319	3778
78	321	3748
79	323	3721
80	325	3698
81	329	3685
82	331	3659
83	333	3641
84	336	3623
85	339	3609
86	341	3589
87	345	3579
88	347	3557
89	350	3539
90	351	3515
91	353	3493
92	355	3470
93	360	3471
94	362	3452
95	364	3437
96	369	3435
97	370	3413
98	372	3391
99	375	3376
100	377	3358
101	379	3343
102	382	3331
103	384	3311
104	385	3290
105	387	3270
106	389	3253
107	391	3232
108	393	3216
109	395	3196
110	396	3175
111	397	3154
112	398	3131
113	400	3111
114	401	3090
115	403	3074
116	404	3054
117	406	3036
118	407	3017
119	408	2997
120	410	2980
121	411	2960
122	412	2941
123	413	2924
124	415	2906
125	416	2888
126	417	2870
127	419	2854
128	420	2838
129	421	2821
130	422	2804
131	423	2787
132	425	2771
133	426	2754
134	427	2738
135	428	2721
136	429	2705
137	430	2689
138	431	2673
139	432	2658
140	434	2644
141	435	2628
142	436	2613
143	437	2599
144	438	2585
145	439	2570
146	440	2557
147	441	2543
148	442	2528
149	444	2518
150	445	2505
151	447	2493
152	449	2488
153	451	2479
154	453	2471
155	454	2459
156	456	2448
157	457	2440
158	458	2427
159	459	2414
160	460	2400
161	461	2389
162	463	2377
163	464	2368
164	465	2357
165	467	2346
166	468	2335
167	469	2323
168	470	2311
169	471	2300
170	472	2289
171	473	2278
172	474	2266
173	475	2255
174	476	2245
175	477	2235
176	478	2226
177	479	2216
178	480	2205
179	481	2194
180	482	2183
181	483	2172
182	484	2161
183	485	2152
184	486	2141
185	487	2131
186	487	2121
187	488	2111
188	489	2102
189	491	2095
190	492	2087
191	494	2080
192	496	2074
193	497	2067
194	499	2060
195	500	2053
196	501	2045
197	503	2037
198	504	2030
199	505	2022
200	506	2014
201	507	2005
202	509	1999
203	510	1992
204	511	1985
205	513	1977
206	514	1970
207	515	1962
208	516	1954
209	517	1947
210	518	1940
211	520	1933
212	521	1925
213	522	1918
214	523	1910
215	524	1904
216	526	1898
217	527	1891
218	528	1884
219	529	1877
220	530	1870
221	531	1863
222	532	1856
223	534	1850
224	535	1843
225	536	1837
226	537	1831
227	539	1825
228	540	1820
229	542	1814
230	543	1808
231	544	1802
232	545	1796
233	547	1791
234	548	1786
235	550	1781
236	551	1775
237	552	1770
238	553	1763
239	555	1759
240	557	1755
